isin,scheme,category,score,call,rationale,as_of
INF879O01027,Parag Parikh Flexi Cap Fund,Equity: Flexi Cap,63.0,Hold,QFRA Framework: clear of the bottom third of its own category on both horizons.,2026-08-31
INF109K015K4,ICICI Prudential Multi Asset Fund,Hybrid: Multi Asset Allocation,58.0,Trim,"QFRA Framework: three-year return below the category median, and the largest single position, so the weight comes down rather than the fund being sold.",2026-08-31
INF200K01T51,SBI Small Cap Fund,Equity: Small Cap,13.0,Sell,QFRA Framework: bottom third of its own category on both horizons.,2026-08-31
INF174K01DS9,Kotak Midcap Fund,Equity: Mid Cap,61.0,Hold,QFRA Framework: clear of the bottom third of its own category on both horizons.,2026-08-31
INF769K01010,Mirae Asset Large Cap Fund,Equity: Large Cap,25.0,Sell,QFRA Framework: bottom third of its own category on both horizons.,2026-08-31
INF179KA1RQ7,HDFC Large and Mid Cap Fund,Equity: Large & MidCap,56.0,Hold,QFRA Framework: clear of the bottom third of its own category on both horizons.,2026-08-31
INF760K01JC6,Canara Robeco Small Cap Fund,Equity: Small Cap,25.0,Sell,QFRA Framework: bottom third of its own category on both horizons.,2026-08-31
INF917K01HD4,HSBC Value Fund,Equity: Value Oriented,90.0,Hold,QFRA Framework: top decile of its own category on the three-year record.,2026-08-31
INF579M01902,360 ONE Focused Fund,Equity: Focused,41.0,Hold,QFRA Framework: clear of the bottom third of its own category on both horizons.,2026-08-31
INF109K012B0,ICICI Prudential Balanced Advantage Fund,Hybrid: Dynamic Asset Allocation,79.0,Hold,QFRA Framework: upper quartile of its own category on both horizons.,2026-08-31
INF174K01LC6,Kotak Arbitrage Fund,Hybrid: Arbitrage,,No View,,2026-08-31
INF277K01PR6,Tata Money Market Fund,Debt: Money Market,,No View,,2026-08-31
INF179K01VX0,HDFC Gold ETF Fund of Fund,Commodities: Gold,,Hold,"QFRA Framework: held as a diversifier. The fund tracks its metal, so there is no manager record to rank.",2026-08-31
INF846K01131,Axis ELSS Tax Saver Fund,Equity: ELSS,17.0,Hold,"QFRA Framework: below the category median on the five-year record, but a lock-in applies.",2026-08-31
